t-shirt,110,2021-01-01 11:00:01
fruit,120,2021-01-01 11:09:02
book,70,2021-01-01 11:20:02
t-shirt,190,2021-01-01 12:42:40
chair,400,2021-01-01 13:11:02
fruit,50,2021-01-01 13:34:50
chair,700,2021-01-01 13:36:03
book,160,2021-01-01 14:03:01
fruit,80,2021-01-01 14:08:02
book,310,2021-01-01 15:11:12
chair,420,2021-01-01 15:22:56
fruit,50,2021-01-01 16:22:02
book,160,2021-01-01 17:12:01
chair,240,2021-01-02 10:01:02
fruit,50,2021-01-02 12:10:12
book,190,2021-01-01 12:13:15
fruit,90,2021-01-01 12:23:23
t-shirt,110,2021-01-01 12:38:10
chair,700,2021-01-02 13:00:01
fruit,300,2021-01-02 13:05:07
t-shirt,200,2021-01-02 14:28:12
book,210,2021-01-02 15:17:33
chair,330,2021-01-02 15:19:12
chair,230,2021-01-02 16:17:28
book,200,2021-01-02 17:10:59
fruit,40,2021-01-02 17:21:12
t-shirt,270,2021-01-02 17:30:02
chair,420,2021-01-02 17:59:00
