book,100,2021-01-01 10:00:01
fruit,70,2021-01-01 10:01:02
fruit,50,2021-01-01 11:40:02
t-shirt,200,2021-01-01 11:40:40
chair,300,2021-01-01 12:01:02
t-shirt,200,2021-01-01 12:33:10
chair,250,2021-01-01 12:37:00
book,80,2021-01-01 14:00:01
fruit,30,2021-01-01 14:01:02
fruit,20,2021-01-01 14:40:02
chair,120,2021-01-01 15:37:00
fruit,150,2021-01-01 16:20:02
book,100,2021-01-01 17:00:01
chair,230,2021-01-02 10:01:02
fruit,10,2021-01-02 11:40:02
t-shirt,180,2021-01-01 12:13:10
t-shirt,240,2021-01-01 12:30:30
t-shirt,100,2021-01-01 12:38:10
book,80,2021-01-02 14:00:01
fruit,30,2021-01-02 14:01:02
fruit,20,2021-01-02 14:40:02
chair,120,2021-01-02 15:37:00
fruit,10,2021-01-02 16:10:12
chair,130,2021-01-02 16:37:20
book,90,2021-01-02 17:00:09
fruit,30,2021-01-02 17:01:02
fruit,20,2021-01-02 17:40:02
chair,120,2021-01-02 17:47:00
